,0,1
0,root,total
1,fabric,22674
2,style,20314
3,man,19279
4,time,14168
5,way,13111
6,look,12779
7,shoe,12217
8,type,12110
9,color,11740
10,shirt,11019
11,jacket,11016
12,hair,10046
13,watch,9864
14,piece,9825
15,suit,9090
16,design,8821
17,thing,8716
18,pattern,8583
19,people,8568
20,stitch,7870
21,jean,7832
22,edge,7481
23,woman,7476
24,side,7316
25,pant,7290
26,boot,7013
27,top,6985
28,inch,6914
29,dress,6633
30,lot,6428
31,option,6389
32,pair,6102
33,clothe,5976
34,clothing,5956
35,skirt,5607
36,line,5601
37,material,5597
38,short,5555
39,one,5425
40,part,5353
41,shape,5165
42,tie,5095
43,length,4835
44,thread,4775
45,bag,4761
46,outfit,4749
47,wig,4703
48,place,4701
49,leather,4689
50,brand,4593
51,step,4593
52,body,4397
53,guy,4379
54,face,4363
55,choice,4251
56,skin,4202
57,size,4192
58,product,4130
59,life,4114
60,fashion,4078
61,bit,4059
62,accessory,3960
63,sleeve,3949
64,tip,3936
65,hand,3900
66,post,3882
67,app,3871
68,source,3788
69,end,3777
70,item,3765
71,foot,3751
72,image,3722
73,pocket,3614
74,button,3584
75,hat,3559
76,collar,3547
77,work,3513
78,feature,3342
79,seam,3330
80,trouser,3301
81,world,3202
82,point,3184
83,price,3147
84,strap,3094
85,garment,3067
86,wardrobe,3057
87,machine,3054
88,waist,3041
89,belt,3020
90,back,3001
91,cotton,3000
92,water,2999
93,list,2957
94,sweater,2943
95,front,2918
96,quality,2885
97,number,2878
98,t-shirt,2788
99,layer,2780
100,knot,2754
101,coat,2753
102,name,2714
103,cut,2684
104,area,2660
105,case,2633
106,leg,2607
107,fiber,2602
108,smartwatch,2587
109,video,2581
110,shoulder,2564
111,neckline,2535
112,sock,2532
113,head,2469
114,reason,2458
115,needle,2447
116,wear,2433
117,difference,2415
118,neck,2415
119,shop,2404
120,eye,2394
121,money,2377
122,detail,2362
123,fit,2350
124,company,2349
125,wool,2330
126,event,2329
127,article,2321
128,kind,2318
129,sneaker,2289
130,hem,2266
131,smartwatche,2241
132,variety,2231
133,idea,2210
134,shade,2205
135,fragrance,2194
136,attention,2178
137,colour,2163
138,fact,2159
139,occasion,2146
140,business,2142
141,other,2104
142,cloth,2097
143,example,2093
144,appearance,2092
145,person,2083
146,texture,2071
147,effect,2054
148,problem,2054
149,ring,2052
150,use,2045
151,band,2044
152,silk,2017
153,trend,1974
154,heel,1932
155,scarf,1927
156,phone,1920
157,friend,1913
158,info,1910
159,level,1895
160,rule,1891
161,range,1845
162,history,1815
163,result,1810
164,yarn,1800
165,question,1798
166,blazer,1792
167,allowance,1742
168,tool,1735
169,oil,1709
170,embroidery,1707
171,tutorial,1689
172,hairstyle,1685
173,sense,1684
174,process,1681
175,lace,1679
176,weight,1672
